feature	experiment 1	experiment 2	experiment 3	experiment 4	experiment 5	experiment 6	experiment 7	experiment 8	experiment 9	experiment 10	experiment 11	experiment 12	experiment 13	experiment 14	experiment 15	experiment 16	experiment 17	experiment 18	experiment 19	experiment 20	experiment 21	experiment 22	experiment 23
CHD1L	-1.917	-1.518	-1.248	-1.021	-1.932	-2.272	-1.894	-1.346	-1.922	-1.006	-1.794	-2.127	-1.498	-1.755	-1.670	-1.807	-0.769	-2.067	-1.987	-0.748	-1.532	-1.881	-1.389
CCDC93	-0.176	-0.488	-0.054	-0.134	0.021	-0.390	-0.792	-0.140	-0.504	-0.504	-0.901	-0.743	-0.271	-0.574	-0.233	-0.272	-0.176	0.133	-0.779	-0.418	-0.505	-0.650	-0.073
C9orf114	-0.578	-1.156	-1.014	-1.091	-0.942	-1.236	-1.581	-1.694	-1.366	-1.270	-0.789	-0.819	-1.077	-0.895	-1.580	-0.821	-0.540	-0.860	-0.736	-0.636	-1.252	-1.009	-1.071
LDLRAD3	-0.296	-0.613	-0.520	0.050	-1.208	-0.576	-0.251	-0.928	0.289	-0.070	-0.392	-0.486	0.369	-0.580	0.036	-0.341	-0.815	-1.110	-0.391	-0.424	-0.711	-0.426	0.341
FUT10	1.128	0.327	-0.052	-0.632	0.065	-0.214	0.058	-0.635	-0.273	-0.212	0.396	-0.081	0.546	-0.043	0.185	-0.518	-0.213	-0.738	-0.451	-0.578	-0.260	-0.359	-0.120
SSTR5	0.044	0.164	-0.168	0.273	0.218	0.130	0.322	0.153	0.301	0.361	0.657	0.240	1.047	-2.103	0.051	0.554	0.445	0.049	0.193	0.622	0.501	1.113	0.392
CLDN17	0.893	0.247	-0.321	0.136	0.298	0.669	0.616	0.362	0.046	0.802	0.623	0.758	0.436	-0.330	-0.066	0.541	0.303	0.499	0.300	0.321	-0.146	0.545	0.304
SMARCC2	0.425	0.629	0.789	0.683	0.533	0.648	0.065	0.791	0.671	1.152	0.975	0.874	1.213	0.935	-0.331	1.250	0.639	1.807	0.678	0.676	0.909	0.602	0.475
GGTLA1	1.211	1.398	1.468	1.746	2.585	1.024	1.349	1.413	2.858	0.982	1.919	2.027	1.734	2.635	2.454	3.100	2.405	2.837	2.139	2.783	2.871	2.460	2.321
COIL	0.111	0.249	-0.286	-0.080	-0.638	-0.115	0.231	-0.485	-0.758	-0.559	-0.307	0.292	0.085	-1.388	0.118	-0.744	0.028	-1.265	-0.352	-0.815	-0.861	-0.300	-0.296
ZMYND12	4.347	4.405	3.701	1.111	2.275	4.376	5.038	2.463	2.298	2.443	2.496	3.608	3.411	2.446	2.906	2.228	1.460	2.282	3.083	2.048	2.362	3.562	3.474
ATP1B1	2.717	2.205	2.212	3.442	3.593	4.143	2.282	3.432	2.591	4.013	2.436	2.571	3.599	3.386	2.946	2.731	2.372	2.933	3.783	3.673	3.212	3.312	2.259
FZD5	-0.436	0.013	0.322	-1.342	-1.923	1.210	0.694	0.866	-0.050	0.780	0.766	-0.335	1.326	0.809	0.563	0.037	-0.442	0.281	0.864	0.344	0.318	0.977	1.808
HSBP1	1.493	1.097	0.722	0.329	0.393	0.912	1.174	0.242	0.339	0.430	0.964	1.360	0.385	0.004	-0.136	0.152	-0.469	-0.232	0.193	0.199	-0.014	0.173	-0.073
C4orf6	1.626	3.104	1.804	3.034	-1.242	3.431	3.658	2.036	2.305	2.478	1.553	4.041	2.087	4.219	2.397	1.178	2.184	4.138	3.180	1.634	3.327	2.789	2.545
MYST2	-1.219	-0.461	-0.383	-0.539	0.196	-0.781	-0.749	-0.856	-0.571	-0.889	-0.587	-0.949	-0.032	-0.993	0.039	-0.369	0.405	-0.699	-0.397	-0.189	-0.510	-0.406	-0.057
TMEM177	0.421	0.203	-0.162	-0.755	-0.540	-0.174	-0.261	-0.205	-1.166	0.018	0.088	0.454	-0.006	-0.017	-0.708	-0.465	-0.510	0.586	-0.660	0.555	-0.071	-0.612	-0.283
KRT20	-0.551	-0.043	-0.915	-0.489	-1.742	-0.228	-1.054	-1.678	-1.200	-0.635	-0.461	-1.073	-1.063	-2.913	-0.973	-0.740	-0.306	0.471	-1.914	-1.187	-0.606	-0.541	-0.372
LCE3D	0.500	-0.251	0.318	0.041	-0.239	-0.173	-0.206	-0.482	-0.108	0.334	0.235	0.946	-0.868	0.192	0.251	-0.177	0.108	0.283	0.013	0.170	0.298	0.022	0.018
CETP	2.621	2.041	2.692	0.950	0.383	2.783	2.711	1.061	1.455	2.236	2.156	2.576	0.869	0.978	2.110	1.976	1.090	0.175	2.991	1.437	1.090	2.744	2.031
LOC440248	-1.262	-0.728	-0.231	0.880	-2.728	-1.781	-2.243	-0.328	-3.027	-1.210	-3.363	-2.927	-2.115	-1.737	-0.732	-0.782	0.042	0.260	-3.002	-1.711	-1.226	-3.388	-1.556
HOXA6	0.531	0.527	0.328	0.138	0.296	0.234	0.081	0.764	0.915	0.667	-0.369	0.216	0.438	0.959	-0.116	0.875	1.064	0.117	0.242	0.499	-0.121	0.209	0.634
FAM36A	-0.150	0.537	0.464	0.297	0.339	1.048	1.272	0.554	0.328	0.948	0.154	0.558	0.978	-0.257	0.666	-0.007	0.483	0.643	0.625	0.267	0.523	0.764	0.776
APBB3	0.679	1.093	0.965	0.395	-1.067	0.101	-0.163	-0.056	0.020	0.038	0.133	-0.948	0.427	0.486	-0.538	0.961	1.012	1.359	0.037	-0.502	0.305	-0.601	0.267
PSMD9	-0.452	0.966	0.527	-0.517	0.112	-0.238	0.205	-0.518	-0.974	0.164	0.505	0.309	0.418	-0.254	-0.019	-0.103	-0.106	-0.207	-0.015	-0.704	0.206	-0.116	0.018
PEX3	1.502	1.272	0.956	0.153	1.635	1.413	1.571	0.357	-0.145	0.655	0.991	1.781	0.920	0.399	0.429	0.334	-0.011	-0.192	1.236	-0.075	0.757	0.435	0.638
MC1R	-2.285	-2.981	-2.473	-0.189	-2.886	-2.941	-3.571	-1.194	-0.453	-1.561	-2.457	-1.649	-2.036	-1.335	-2.671	-0.857	-1.416	-1.208	-3.737	-1.385	-2.098	-3.379	-2.982
LDLR	-2.819	-2.858	-3.038	-2.422	-0.795	-3.264	-3.412	-3.559	-1.841	-2.679	-2.273	-2.583	-3.204	-2.318	-2.260	-2.466	-2.505	-2.803	-2.370	-2.411	-3.215	-2.560	-3.081
SYPL2	1.901	0.831	0.891	0.413	1.762	0.754	-0.331	0.667	0.653	1.091	0.565	1.006	0.454	0.364	-0.333	0.949	-0.124	1.332	-0.010	1.782	1.333	0.636	0.982
MED28	0.916	0.505	-0.215	-0.374	0.346	0.360	0.436	-0.411	-0.038	-0.404	0.408	1.318	-0.207	0.124	-0.256	-0.933	-1.086	-0.977	-0.196	-0.547	-0.380	-0.219	-0.864
NTN1	-0.086	-0.374	-0.092	0.324	2.331	0.628	-0.139	0.054	0.330	0.127	0.320	0.509	0.338	0.360	-1.678	0.029	-0.421	0.972	0.050	0.159	0.577	0.091	-0.351
CYLC1	0.555	-0.529	-0.127	0.447	NA	0.130	-2.951	-0.919	1.331	0.501	0.614	0.340	0.956	1.754	-2.920	0.778	0.608	0.440	0.505	0.300	-0.260	-1.675	-0.131
TAS2R41	1.333	0.597	0.950	0.036	0.949	0.589	1.292	0.834	-0.327	0.323	0.281	0.068	1.534	2.231	-0.061	0.395	0.342	0.271	-0.049	-0.298	0.610	1.678	0.496
C14orf131	-1.289	-0.290	-0.175	-0.333	-1.261	0.092	-0.194	-0.083	-0.951	-0.838	-0.416	-0.862	-0.148	-0.861	-0.551	-0.592	-0.567	-0.670	-0.136	-0.602	-1.008	-0.443	-0.567
SULT1A1	1.804	0.037	0.889	0.615	-1.330	-1.208	0.096	-1.337	-0.072	1.034	0.621	1.790	0.051	0.691	-1.602	1.396	-0.001	1.839	0.281	1.066	0.548	-0.653	0.038
DMRTC2	1.306	0.163	0.310	-0.827	0.493	1.147	0.707	0.271	-0.330	0.702	0.514	0.824	-0.640	0.229	1.629	0.074	0.013	0.131	0.773	1.028	0.499	0.535	0.021
FLJ44635	1.417	2.120	1.427	1.111	0.843	1.872	2.468	0.888	1.270	1.901	1.566	1.954	1.953	0.763	1.737	0.733	1.012	0.086	1.184	1.135	0.910	1.860	1.504
CA10	-1.419	-1.441	-0.411	-0.288	0.224	-0.809	0.376	-0.591	-1.844	-1.097	0.135	-0.542	-1.268	-0.400	-0.466	-0.338	1.166	1.383	-1.506	-0.908	1.161	-0.373	0.035
LIN7A	0.976	2.204	1.779	-0.850	3.070	2.558	2.365	1.335	1.111	1.944	1.135	0.558	2.299	-1.733	2.463	-1.131	0.093	-0.122	3.194	0.715	-1.045	2.090	0.917
CTF1	0.128	0.322	0.271	0.051	0.737	0.359	0.292	0.170	0.259	0.239	0.172	0.048	0.385	0.255	0.005	0.144	0.878	1.261	0.180	0.158	0.556	0.596	0.549
ART5	0.517	0.093	-0.346	-0.586	0.295	-0.968	-0.822	-2.212	2.839	-0.825	-1.169	0.133	-2.080	0.231	-1.342	0.098	-2.015	-0.547	0.568	1.305	-0.751	-1.019	-2.050
ANXA7	2.378	1.209	0.984	0.354	1.477	1.712	1.630	1.395	0.192	1.166	1.480	1.317	0.727	1.368	1.194	0.745	0.602	0.594	0.788	1.040	0.975	1.248	1.060
HIST1H2BO	-1.588	0.542	-0.646	-0.512	-2.378	0.800	0.143	-0.087	-0.269	0.609	-0.247	0.275	-1.036	-0.465	0.449	-0.513	-0.286	-0.406	-0.470	1.044	-1.068	-0.355	-0.514
ZNF311	-0.393	-0.343	-0.261	0.370	-2.800	-2.240	-1.666	-0.413	-0.498	-1.029	-0.585	-0.668	-1.366	-0.461	-1.323	-1.435	0.194	-1.506	-1.570	-0.372	-1.452	-1.463	-1.267
PEBP4	1.878	1.732	2.302	-0.110	1.435	1.519	0.853	0.601	0.176	0.554	1.647	0.915	0.380	1.145	1.638	1.556	0.684	2.000	2.171	1.909	1.402	1.726	1.039
ZNF682	-0.663	-0.840	-0.738	-0.244	-0.965	-0.707	-0.593	-0.449	-1.562	-1.702	-1.640	-1.116	-0.904	-1.311	-0.586	-0.829	-0.561	-1.184	-1.036	-1.055	-0.834	-0.965	-0.849
IL17RB	3.678	1.900	3.726	-1.599	-1.820	2.806	2.901	2.830	-2.457	2.210	0.126	1.312	0.839	-1.525	1.309	0.680	0.133	2.821	1.325	2.025	3.166	0.622	1.854
MICALCL	-1.068	-1.224	-0.708	-0.977	0.013	-1.112	-1.232	-0.317	-0.168	-0.389	-1.133	-1.098	-1.214	0.546	0.167	-0.396	-1.074	-0.699	-1.567	-0.161	0.258	-0.017	-0.366
EPHX2	2.441	3.010	2.819	-0.186	2.048	3.137	3.537	2.540	1.337	2.285	2.724	2.090	1.982	2.120	2.917	1.444	1.563	3.623	2.751	1.768	3.020	2.638	3.362
FOXP4	-0.052	-0.352	-0.123	-0.277	-0.684	-0.563	-1.108	-1.130	-0.700	-0.451	-0.276	-0.308	-0.707	-0.204	-0.989	0.224	0.001	0.294	-0.653	-0.221	0.133	-0.566	-0.566
NPAS1	-1.635	-1.289	-1.641	-1.729	-1.885	-1.958	-2.066	-2.031	-0.897	-1.655	-1.510	-1.458	-1.472	-1.202	-2.511	-1.513	-1.856	-1.358	-1.220	-1.651	-2.279	-1.607	-2.224
GIN1	0.444	0.662	0.161	-0.428	0.446	0.528	0.782	-0.608	0.213	-0.357	0.450	0.757	0.057	-0.703	0.273	-0.522	-0.749	-1.678	0.606	-0.437	-0.484	0.504	0.061
LRRC4B	0.338	0.190	-0.482	-1.442	-0.309	-0.708	0.405	-0.184	0.565	-0.180	0.593	0.773	0.168	-1.139	-0.709	-0.665	-0.478	-0.317	-0.160	-0.010	-0.488	-0.003	-0.002
SSTR2	1.247	3.881	3.927	3.435	2.336	3.471	3.781	3.703	3.224	3.221	3.590	4.256	3.557	3.396	2.827	3.319	3.147	3.427	4.087	3.740	3.126	4.222	3.437
CYP2A6	0.354	-0.172	-0.086	-0.081	0.204	-0.186	0.001	-0.019	0.132	-0.059	0.483	0.290	0.155	0.082	-0.094	0.031	0.688	0.403	-0.319	0.075	-0.031	-0.034	-0.403
NAPSA	3.317	4.925	5.267	2.508	0.498	2.610	4.616	2.608	1.680	5.369	4.497	3.293	4.032	3.853	1.763	3.391	3.332	2.374	4.780	4.700	4.141	2.441	3.423
SYNPO2L	-0.507	-0.908	-0.862	-0.162	-0.633	-0.749	-1.861	-0.417	0.011	-1.048	-0.679	-0.328	-1.480	0.600	-0.785	-0.017	-0.200	0.585	-1.206	-0.909	-0.392	-0.455	-0.981
PRR3	-0.418	-0.136	-0.634	-0.488	-0.754	-0.320	-0.316	-0.806	-0.638	-0.286	-0.017	-0.063	-0.343	-0.397	-0.282	-0.140	-0.005	-0.100	0.059	-0.305	-0.551	-0.504	-0.281
C22orf9	-0.670	-0.262	-0.307	0.498	-0.492	-0.720	-1.146	-0.175	0.551	0.176	-0.087	-0.635	-0.671	0.480	-0.133	0.685	1.393	0.937	-0.140	0.508	0.798	0.349	0.715
PAGE2B	-2.651	-2.225	-1.949	-1.482	-4.096	-2.466	-1.883	-1.316	-2.018	-2.430	-1.939	-1.506	-3.390	-3.514	-1.778	-2.061	-2.240	-1.344	-1.776	-1.979	-3.381	-2.822	-2.139
KIAA1856	0.750	0.534	0.849	0.861	0.217	0.938	0.425	0.842	0.628	1.415	1.124	1.192	1.224	1.560	-1.146	1.094	0.165	1.767	0.746	0.836	0.960	0.630	0.244
ZNF289	-1.425	-0.881	-1.159	-1.734	-0.219	-1.097	-1.397	-1.877	-0.655	-1.520	-1.172	-1.472	-1.129	-1.223	-1.080	-0.481	0.396	0.065	-0.001	-0.600	-0.393	-0.199	-0.040
SLC7A6	-0.678	-1.192	-0.770	-0.407	-0.635	-1.286	-1.491	-0.481	-0.838	-0.539	-1.092	-0.713	-1.217	-0.494	-0.966	-0.553	-0.361	-0.794	-1.208	-0.672	-0.773	-1.155	-0.707
OGN	-5.585	-3.821	-3.008	-3.400	-2.245	-4.039	-0.254	-3.622	-1.260	-3.727	-0.201	1.877	-4.847	1.501	2.891	2.463	-1.758	0.001	-4.112	1.695	2.379	1.273	-2.752
ATP6V0A4	-2.908	-3.318	-2.087	-3.241	6.796	-3.662	-1.953	-3.651	-2.150	-3.285	-3.536	-1.713	-3.727	-3.300	-3.530	-3.369	-1.945	-2.834	-3.325	-2.284	-3.050	-4.076	-3.466
RBMXL2	0.195	0.007	-0.180	0.157	-0.798	0.691	0.445	0.713	0.089	-0.518	-1.123	-0.543	-0.041	-1.310	0.121	-0.852	0.230	0.013	0.285	1.251	-0.271	-0.422	-0.197
FBN1	-2.089	-1.151	-1.296	-0.913	-0.898	-1.823	-1.411	-1.525	-1.098	-1.569	-1.581	-1.011	-1.486	-0.043	-0.078	-0.922	-1.032	-1.831	-1.566	-0.937	-0.288	-1.190	-1.275
RTN4IP1	0.488	-0.535	-0.553	-0.859	0.796	-0.312	-0.652	-0.618	-1.393	-0.646	-0.264	-0.393	-0.077	-0.761	-1.080	-0.628	-1.200	-0.262	-0.712	-0.725	-0.394	-0.418	0.200
AOC3	-0.515	0.793	1.321	0.702	1.931	-0.926	0.744	1.206	1.410	0.280	0.598	0.607	-0.503	1.167	1.958	2.344	0.981	1.892	1.396	2.048	1.692	1.768	1.371
SMURF2	-0.346	-0.208	-0.593	-1.161	-1.024	-0.439	-0.240	-0.638	-1.875	-1.172	-0.723	-1.177	-0.835	-1.121	-0.332	-0.860	0.101	-1.682	-0.679	-0.199	-0.598	-1.004	-0.539
ARD1A	0.192	-0.029	-0.038	-0.378	-0.702	-0.844	-0.388	-0.851	-0.968	-0.230	-0.078	-0.105	-0.239	0.143	-0.436	-0.405	-0.658	-0.072	-0.646	-0.296	-0.453	-0.821	-0.628
LCN12	2.450	1.662	1.766	0.088	1.898	1.517	2.534	0.740	1.287	1.576	1.150	1.850	0.830	0.762	0.710	0.519	1.172	1.135	1.904	2.186	2.046	1.512	1.302
RY1	1.071	0.607	-0.082	0.101	0.763	0.121	0.649	0.080	0.541	0.231	0.597	0.811	0.064	0.051	0.489	-0.174	0.506	-0.350	0.152	-0.305	-0.135	-0.169	-0.240
ZNF639	-0.161	-0.050	-0.209	-0.477	0.136	-0.207	-0.013	-0.589	0.200	-0.426	-0.465	0.314	-0.282	-0.721	-0.007	-0.935	-0.505	-1.440	-0.005	0.248	-0.523	-0.166	-0.550
CRTAM	4.182	3.787	3.615	5.407	1.807	2.766	4.304	6.089	3.413	5.373	5.966	4.082	3.995	5.996	2.886	4.610	5.532	2.829	4.570	5.223	6.284	4.877	4.518
ADAM28	3.163	2.869	2.942	3.704	0.839	1.381	2.251	4.039	2.952	3.644	2.417	3.072	1.917	2.948	2.718	3.274	4.024	1.791	2.124	3.192	3.957	2.484	2.738
ADRA2B	-0.926	1.505	1.717	1.089	2.234	1.708	2.312	1.943	2.437	0.767	0.944	1.107	1.893	1.018	2.051	1.902	0.470	1.853	2.284	1.567	1.141	2.531	1.841
SLC35D1	-0.267	0.011	0.175	-0.240	-1.769	0.141	0.144	-0.369	-0.952	-0.070	-0.105	0.312	0.317	-0.364	-0.059	-0.646	-0.500	-1.189	-0.678	-0.762	0.408	-0.213	-0.028
CCDC75	-0.121	-0.604	-0.557	0.023	-0.013	0.105	0.158	0.033	1.480	0.410	0.423	0.868	-0.130	1.280	-0.185	0.709	-0.113	1.207	0.340	0.336	1.067	-0.022	-0.025
PAH	-3.674	0.694	-4.381	-5.719	-5.775	-0.314	3.183	-2.886	-5.010	2.365	0.604	-3.789	0.155	-4.711	-2.051	-3.899	-5.963	-0.430	0.019	-2.896	1.772	-0.041	-1.198
SKI	-0.029	0.582	0.863	0.798	-0.345	1.180	0.568	1.142	1.102	1.187	1.000	0.967	1.181	1.342	0.176	1.018	0.093	1.397	0.837	0.602	1.102	1.099	0.260
FCN2	0.617	2.045	2.748	1.668	2.925	1.376	3.243	2.201	1.911	1.164	2.235	4.159	1.377	1.842	1.447	2.395	1.400	1.139	2.192	1.608	2.420	3.913	2.281
OR10AG1	0.269	0.154	0.441	-0.751	0.153	-1.048	-1.333	0.429	-0.262	-0.620	-0.629	0.895	-0.089	-0.684	0.090	-0.631	0.263	0.608	0.430	-2.474	-0.453	0.251	-0.557
WNT7A	2.337	-0.513	0.064	-0.238	0.034	-0.086	0.252	-0.693	0.082	0.593	0.174	0.317	-0.295	0.498	-0.847	-0.034	-0.327	-0.302	-0.276	-0.046	0.247	0.175	0.002
HS3ST2	6.038	2.877	1.024	1.353	1.956	1.788	0.536	1.073	1.997	5.368	5.229	3.371	1.315	6.315	4.503	4.694	-0.085	1.379	2.524	3.616	2.399	2.120	1.513
RASA2	-0.128	-0.081	-0.422	0.421	0.245	0.008	-0.168	0.428	0.670	0.026	0.120	0.262	0.340	0.505	0.189	0.074	0.748	-0.497	0.208	0.151	-0.137	-0.244	-0.524
PLK4	-3.187	-2.862	-2.965	-1.640	-3.975	-3.329	-2.541	-2.964	-3.370	-2.918	-2.814	-2.581	-3.167	-2.668	-2.695	-2.743	-1.844	-2.915	-2.625	-2.785	-2.676	-3.421	-3.225
ZNF613	1.645	1.204	1.674	0.621	1.296	1.622	1.685	1.345	1.817	0.894	1.347	1.697	1.008	1.190	1.136	-0.036	0.326	0.139	1.415	1.053	0.863	1.155	1.099
FOSL2	0.560	0.975	0.523	1.395	3.106	1.189	0.763	0.987	2.267	1.227	1.140	1.295	1.306	1.382	0.790	1.268	1.601	1.760	1.245	1.018	1.462	1.480	0.835
TP53AP1	2.035	1.388	1.364	0.950	1.276	1.316	1.543	0.593	0.577	1.313	1.581	1.441	1.124	1.649	0.821	1.374	-0.097	1.321	0.754	0.881	0.821	0.970	1.242
GOLGA7	1.431	1.324	1.063	0.719	0.524	0.823	1.644	-0.096	0.222	0.601	1.026	0.985	1.235	-0.024	0.990	0.111	0.579	-0.634	1.149	0.060	0.585	0.483	0.760
ATG3	0.104	0.007	-0.322	-0.415	0.377	-0.377	-0.027	-0.085	-0.719	-0.665	0.059	-0.041	-0.198	-0.937	0.165	-0.456	0.371	-0.840	-0.133	0.351	-0.296	0.003	-0.437
EMCN	4.229	6.821	7.068	4.683	6.169	6.788	7.192	6.925	4.636	6.208	7.030	7.171	5.992	6.300	6.899	5.576	4.431	4.209	7.048	5.797	5.413	6.385	6.072
GCHFR	1.102	0.565	0.799	-0.960	-1.080	0.461	0.525	0.306	-1.635	0.712	0.930	0.773	0.611	0.970	0.196	0.790	-1.059	0.908	0.427	0.789	0.087	0.126	0.362
IL1RAPL1	-2.233	-0.879	-0.030	-2.539	-1.382	-0.551	-0.535	0.456	-0.396	-1.065	-0.378	-0.138	-0.855	-0.779	0.198	-1.175	-1.375	-0.460	-0.591	-1.574	-1.670	0.391	-0.856
SPACA3	0.395	-0.097	-0.216	1.429	-0.041	-0.804	0.388	-0.092	0.353	-0.406	-0.118	0.527	-0.457	0.188	0.032	0.082	1.525	2.394	-0.052	0.270	0.430	-0.106	0.200
LHFPL1	-4.359	-1.433	-1.321	-0.709	-3.245	-1.302	-1.321	-1.530	-1.161	-3.108	-1.936	-1.337	-1.324	-2.304	-1.121	-1.534	-0.690	-2.992	-1.700	-0.875	-2.148	-0.936	-1.340
OTX1	-1.200	-1.469	-1.601	-0.196	-1.669	-1.420	-1.062	-1.707	-1.467	-1.393	-0.989	-0.990	-1.340	-1.091	-1.754	-1.251	-0.684	-0.511	-1.200	-1.242	-1.632	-1.931	-1.647
TRIB3	-1.221	-1.531	-3.203	0.398	-2.460	-2.953	-2.923	-3.715	0.580	-0.968	-2.290	-1.506	-0.685	-2.023	-1.665	-0.600	-0.359	-0.255	-0.450	-0.671	-0.975	-1.634	-1.338
C20orf79	0.444	-0.057	0.618	0.165	0.263	-0.398	-0.183	-0.907	1.284	0.584	-0.254	0.696	0.436	1.752	0.525	-0.134	-0.310	-0.386	0.066	0.621	-0.009	-0.402	0.117
SNX21	0.012	-0.230	-0.121	0.401	0.335	-0.507	-0.354	-0.447	0.499	-0.044	-0.253	-0.054	-0.059	0.498	-0.531	-0.357	0.058	0.209	-0.121	-0.227	-0.251	0.129	-0.287
PAX1	-0.188	0.142	-0.075	-0.240	0.027	0.531	0.278	-0.508	0.294	0.111	0.278	-0.050	0.124	0.434	-0.026	0.110	0.023	0.340	-0.315	0.179	0.240	0.268	0.027
TARS2	0.001	-0.451	0.017	0.117	-1.040	-0.272	-0.761	-0.772	-0.166	0.251	-0.466	0.028	0.179	0.342	-0.890	0.469	0.113	1.729	-0.308	0.414	0.151	-0.553	-0.710
ERBB2IP	-0.033	-0.081	0.297	0.179	0.490	0.448	0.115	0.503	0.431	0.659	0.503	0.409	0.592	0.894	0.244	0.982	-0.086	0.776	0.875	1.058	0.254	0.303	0.456
UBAP2	-1.255	-1.389	-0.923	-0.248	-0.620	-1.503	-2.140	-0.551	-1.411	-1.247	-1.112	-1.419	-0.852	-1.098	-0.424	-0.298	-0.073	-0.503	-1.072	-0.697	-0.615	-1.315	-0.657
ADARB1	-2.741	-1.546	-0.558	-1.409	-1.927	-1.752	-1.909	-1.045	-1.230	-1.354	-1.528	-1.788	-2.096	-1.091	-0.064	-0.587	-0.749	-1.070	-0.997	-0.608	-0.659	-0.475	-0.646
ZP1	-1.214	-2.107	-2.374	-0.567	-3.457	-2.651	-2.390	-3.968	-0.213	-1.449	-2.510	-1.698	-2.824	1.817	-2.877	-2.912	-1.691	-1.987	-2.776	-2.589	-0.354	-3.303	-3.805
CX3CL1	2.282	2.537	2.827	1.968	1.972	3.198	2.881	3.102	2.026	2.826	2.883	2.224	2.490	2.358	2.307	2.724	2.355	3.586	3.510	3.240	2.962	3.205	2.528
HSZFP36	1.748	1.192	0.471	0.480	-0.868	0.597	1.048	0.593	0.127	0.145	0.383	0.654	0.387	0.183	0.730	0.311	0.221	0.142	0.252	-0.359	-0.232	-0.326	0.040
KIAA0174	-0.190	0.113	-0.133	-0.514	0.246	-0.232	-0.264	-0.088	0.006	-0.363	0.043	-0.342	-0.143	-0.072	0.093	0.337	1.133	0.378	0.284	0.321	-0.054	0.243	0.591
ANGPT2	2.635	4.145	3.931	4.143	3.302	4.444	4.348	4.154	4.620	4.429	3.874	3.976	4.111	5.069	4.112	4.041	3.449	3.198	5.085	3.779	3.759	4.438	4.111
LARGE	-1.222	-1.763	-1.147	-1.325	-0.802	-2.132	-1.775	-1.302	-0.876	-1.592	-1.488	-1.116	-2.198	-0.531	-1.155	-0.436	-1.964	-1.121	-1.444	-1.086	-0.739	-1.377	-1.430
UBE2U	0.536	-1.129	0.463	0.657	0.466	-0.202	0.834	0.670	1.006	0.621	0.335	0.363	0.379	0.542	0.425	-0.230	-0.006	0.511	0.658	-0.508	0.492	0.622	0.691
GALK1	-0.310	-0.369	-0.375	-0.129	-1.303	-0.579	-0.926	-1.772	0.155	-0.513	-0.292	0.104	-1.006	0.079	-1.550	0.131	-0.587	0.738	0.143	0.124	0.145	-0.343	-0.668
ZMYND19	-1.325	-1.388	-1.261	-1.355	-1.583	-1.430	-1.728	-1.405	-1.508	-1.417	-1.132	-1.352	-1.345	-1.318	-1.692	-1.301	-0.911	-0.866	-1.470	-1.240	-1.430	-1.215	-0.989
PPARD	-0.303	0.956	0.981	0.241	-0.297	0.704	0.121	0.639	0.462	0.596	0.046	0.573	0.340	0.483	-0.016	0.288	0.020	1.416	-0.284	0.533	0.608	0.418	0.269
ZNF497	-0.411	-1.034	-0.824	-0.575	-0.305	-1.965	-1.557	-0.860	-1.655	-0.832	-0.201	-0.814	-1.443	0.013	-1.269	-0.635	-1.291	-1.038	-0.999	-0.776	-0.748	-1.034	-0.311
SLC6A8	-0.912	-0.963	0.208	1.354	-0.901	-0.530	-0.052	-0.973	0.117	0.717	-0.476	-0.563	1.390	0.666	-0.989	-0.500	2.184	1.382	-0.067	1.093	-0.881	0.137	-0.072
KIR3DL3	-0.510	-0.802	-0.275	0.025	-0.472	-0.437	-0.848	-0.225	0.006	-0.228	-1.270	-0.342	-0.416	-0.997	-0.763	-0.140	-0.176	0.662	-0.610	-0.374	-0.204	-0.859	-0.694
EPHB3	-0.900	0.209	-0.485	-1.270	-1.950	-0.778	0.517	-1.340	0.356	-0.064	0.190	0.528	-0.285	-0.119	-0.410	0.050	-0.313	-0.266	0.852	-0.312	0.147	0.626	-0.360
MINPP1	0.140	0.568	0.068	0.247	0.025	0.158	0.573	-0.364	-0.692	-0.620	-0.078	0.322	-0.312	-1.142	1.050	-0.370	0.712	-1.645	0.721	0.241	-0.224	-0.247	0.144
CLCA2	-2.216	-2.959	-2.732	-3.625	-2.528	-3.590	-3.387	-3.660	-3.442	-3.710	-2.453	-1.984	-3.499	-4.349	-2.359	-3.652	-3.405	-3.549	-3.777	-3.761	-3.086	-3.297	-3.667
MGC27016	-1.011	1.624	-0.017	-0.900	-0.180	0.812	0.776	1.465	2.994	1.359	0.824	0.634	2.057	-0.101	1.318	-0.452	0.988	-0.270	2.027	0.113	0.525	1.054	0.895
KRTAP1-3	0.742	0.331	0.430	0.581	2.023	0.364	0.333	0.344	-0.224	0.908	0.529	1.388	0.771	0.911	-0.469	0.520	-0.119	0.592	0.116	0.122	0.294	0.405	0.037
PWWP2	-0.356	-1.077	-0.724	-0.329	0.349	-1.249	-1.576	-0.893	-1.181	-0.883	-0.536	-0.479	-1.480	0.148	-0.874	0.202	-0.340	0.497	-0.753	0.163	-0.478	-0.750	-1.090
C16orf13	0.753	0.874	0.979	0.802	-0.770	1.103	0.263	-0.110	0.764	1.025	1.473	1.679	1.864	1.095	-0.433	1.228	0.192	1.362	1.211	-0.079	0.579	0.614	0.908
DDX58	0.651	3.088	2.077	2.015	0.593	3.145	3.708	2.763	1.768	2.065	2.047	2.844	1.891	1.506	2.079	1.365	2.994	1.979	2.559	3.162	3.066	2.761	2.403
